id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,attributed_sales_same_sku14d,sales7d,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,advertised_sku,sales_other_sku7d,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,ad_group_name,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,acos_clicks14d,units_sold_clicks30d,qualified_borrows,portfolio_id,ad_id,campaign_budget_currency_code,roas_clicks7d,units_sold_same_sku14d,units_sold_clicks7d,attributed_sales_same_sku7d,royalty_qualified_borrows,sales1d,ad_group_id,add_to_list,purchases_same_sku14d,units_sold_other_sku7d,spend,purchases_same_sku1d,campaign_budget_type,advertised_asin,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,acos_clicks7d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
34625,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-07,29.99,1.8331295843520783,1,59.98,59.98,59.98,0,1,ENABLED,IBU_CTLM_12G1F,0.0,2,1000.0,2,2,3.272,2,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.28876696505919724,0,54.551517172390795,2,0,197748004457307.0,399175395039376,USD,1.8331295843520783,2,2,59.98,0,29.99,439851151117545,0,2,0,32.72,1,DAILY_BUDGET,B0FNBYKPZT,1,2,32.72,Amazon,59.98,54.551517172390795,59.98,3463,2,2,2,10,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34626,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-08,59.98,1.8861635220125785,3,59.98,89.97,59.98,0,2,ENABLED,IBU_CTLM_12G1F,29.99,2,1000.0,3,2,3.18,3,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.44709388971684055,0,53.01767255751918,3,0,197748004457307.0,399175395039376,USD,1.8861635220125785,2,3,59.98,0,89.97,439851151117545,0,2,1,47.7,2,DAILY_BUDGET,B0FNBYKPZT,3,2,47.7,Amazon,89.97,53.01767255751918,89.97,3355,2,3,3,15,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34627,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-09,119.96,3.9434582511505583,4,119.96,119.96,119.96,0,4,ENABLED,IBU_CTLM_12G1F,0.0,4,1000.0,4,4,2.7654545454545456,4,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.2380952380952381,0,25.35845281760587,4,0,197748004457307.0,399175395039376,USD,3.9434582511505583,4,4,119.96,0,119.96,439851151117545,0,4,0,30.42,4,DAILY_BUDGET,B0FNBYKPZT,4,4,30.42,Amazon,119.96,25.35845281760587,119.96,4620,4,4,4,11,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34628,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-10,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_CTLM_12G1F,0.0,0,1000.0,0,0,3.190909090909091,0,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,297069838936079,0.3242924528301887,0,nan,0,0,197748004457307.0,399175395039376,USD,0.0,0,0,0.0,0,0.0,439851151117545,0,0,0,35.1,0,DAILY_BUDGET,B0FNBYKPZT,0,0,35.1,Amazon,0.0,nan,0.0,3392,0,0,0,11,Inner-SP-KW-Creatine Gummies-creatine gummies-EM-CPC-800,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34643,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-04,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.63,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,3.7037037037037033,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.63,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.63,Amazon,0.0,nan,0.0,27,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34644,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-05,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.61,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,2.2222222222222223,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.61,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.61,Amazon,0.0,nan,0.0,45,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34645,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-06,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.63,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,0.3597122302158274,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.63,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.63,Amazon,0.0,nan,0.0,278,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34646,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-07,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.63,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,2.7777777777777777,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.63,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.63,Amazon,0.0,nan,0.0,36,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34647,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-08,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.63,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,0.4132231404958678,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.63,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.63,Amazon,0.0,nan,0.0,242,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
34648,2026-04-21 01:59:19.956075,2026-04-21 01:59:19.956075,2026-04-09,0.0,0.0,0,0.0,0.0,0.0,0,0,ENABLED,IBU_BBUF_06C1,0.0,0,150.0,0,0,3.63,0,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,486037133623874,0.5847953216374269,0,nan,0,0,189812334889736.0,476043793359021,USD,0.0,0,0,0.0,0,0.0,553363763288089,0,0,0,3.63,0,DAILY_BUDGET,B0G25Y3DVZ,0,0,3.63,Amazon,0.0,nan,0.0,171,0,0,0,1,Inner-SP-KW-Berberine Capsules-EM-berberine with ceylon cinnamon-1w,spAdvertisedProduct,US,INNERBRIGHTNESS,spAdvertisedProduct_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:19
