id,created_at,updated_at,date,attributed_sales_same_sku1d,roas_clicks14d,units_sold_clicks1d,attributed_sales_same_sku14d,sales7d,campaign_rule_based_budget_amount,attributed_sales_same_sku30d,kindle_edition_normalized_pages_royalties14d,units_sold_same_sku1d,campaign_status,purchases_same_sku7d,campaign_budget_amount,purchases7d,units_sold_same_sku30d,cost_per_click,units_sold_clicks14d,campaign_id,click_through_rate,kindle_edition_normalized_pages_read14d,campaign_applicable_budget_rule_name,acos_clicks14d,units_sold_clicks30d,qualified_borrows,campaign_budget_currency_code,campaign_applicable_budget_rule_id,units_sold_same_sku14d,units_sold_clicks7d,campaign_bidding_strategy,attributed_sales_same_sku7d,top_of_search_impression_share,royalty_qualified_borrows,sales1d,add_to_list,purchases_same_sku14d,spend,purchases_same_sku1d,campaign_budget_type,purchases1d,units_sold_same_sku7d,cost,retailer,sales14d,sales30d,impressions,purchases_same_sku30d,purchases14d,purchases30d,clicks,campaign_name,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
30933,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-07,35.99,42.8452380952381,1,35.99,35.99,,35.99,0,1,ENABLED,1,150.0,1,1,0.84,1,112480725342057,16.666666666666664,0,,2.3339816615726585,1,0,USD,,1,1,manual,35.99,0.05,0,35.99,0,1,0.84,1,DAILY_BUDGET,1,1,0.84,Amazon,35.99,35.99,6,1,1,1,1,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30934,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-08,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,4,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30935,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-09,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,2,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30936,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-10,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,112480725342057,0.0,0,,nan,0,0,USD,,0,0,manual,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,1,0,0,0,0,Inner-SP-KW-NMN Capsules-nmn-EM-CPC-1.2w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30952,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-04,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,103105471930136,0.0,0,,nan,0,0,USD,,0,0,legacy,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,386,0,0,0,0,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30953,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-05,0.0,0.0,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,1.5,0,103105471930136,0.46511627906976744,0,,nan,0,0,USD,,0,0,legacy,0.0,0.0,0,0.0,0,0,1.5,0,DAILY_BUDGET,0,0,1.5,Amazon,0.0,0.0,215,0,0,0,1,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30954,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-06,0.0,0.0,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,1.47,0,103105471930136,0.9174311926605505,0,,nan,0,0,USD,,0,0,legacy,0.0,0.0,0,0.0,0,0,4.4,0,DAILY_BUDGET,0,0,4.4,Amazon,0.0,0.0,327,0,0,0,3,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30955,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-07,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,103105471930136,nan,0,,nan,0,0,USD,,0,0,legacy,0.0,nan,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,0,0,0,0,0,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30956,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-08,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,103105471930136,0.0,0,,nan,0,0,USD,,0,0,legacy,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,1,0,0,0,0,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
30957,2026-04-21 01:59:12.493253,2026-04-21 01:59:12.493253,2026-04-09,0.0,nan,0,0.0,0.0,,0.0,0,0,ENABLED,0,150.0,0,0,0.0,0,103105471930136,0.0,0,,nan,0,0,USD,,0,0,legacy,0.0,0.0,0,0.0,0,0,0.0,0,DAILY_BUDGET,0,0,0.0,Amazon,0.0,0.0,4,0,0,0,0,Inner-SP-KW-biotin gummies-EM-biotin gummies-1w,spCampaigns,US,INNERBRIGHTNESS,spCampaigns_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:12
