id,created_at,updated_at,date,viewability_rate,keyword_id,purchases_clicks,video5_second_views,match_type,units_sold,royalty_qualified_borrows,qualified_borrows_from_clicks,ad_group_id,sales,keyword_bid,add_to_list,kindle_edition_normalized_pages_royalties14d,search_term,add_to_list_from_clicks,cost_type,campaign_budget_type,campaign_status,video_unmutes,keyword_type,view_click_through_rate,video_third_quartile_views,campaign_budget_amount,royalty_qualified_borrows_from_clicks,cost,purchases,ad_group_name,campaign_id,impressions,kindle_edition_normalized_pages_read14d,qualified_borrows,viewable_impressions,keyword_text,campaign_budget_currency_code,video_complete_views,clicks,video_midpoint_views,video5_second_view_rate,campaign_name,video_first_quartile_views,sales_clicks,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
8659,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-12,75.0,45621668095998,1,0,THEME,1,0,0,451520502515809,27.99,3.0,0,0,inner brightness magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,THEME,33.33,0,300.0,0,11.26,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,16,0,0,12,keywords-related-to-your-brand,USD,0,4,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,27.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8660,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-14,100.0,45621668095998,2,0,THEME,2,0,0,451520502515809,27.98,3.0,0,0,inner brightness magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,THEME,50.0,0,300.0,0,4.45,2,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,4,0,0,4,keywords-related-to-your-brand,USD,0,2,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,27.98,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8661,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-17,100.0,45621668095998,0,0,THEME,0,0,0,451520502515809,0.0,3.0,0,0,inner brightness magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,THEME,33.33,0,300.0,0,2.44,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,3,0,0,3,keywords-related-to-your-brand,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8662,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-14,100.0,45621668095998,0,0,THEME,0,0,0,451520502515809,0.0,3.0,0,0,inner brightness magnesium glycinate plus gummies,0,CPC,DAILY_BUDGET,ENABLED,0,THEME,66.67,0,300.0,0,3.14,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,3,0,0,3,keywords-related-to-your-brand,USD,0,2,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8663,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-15,100.0,45621668095998,0,0,THEME,0,0,0,451520502515809,0.0,3.0,0,0,inner brightness magnesium glycinate plus gummies,0,CPC,DAILY_BUDGET,ENABLED,0,THEME,100.0,0,300.0,0,2.48,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,keywords-related-to-your-brand,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8664,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-13,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,mag glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,50.0,0,300.0,0,4.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,2,0,0,2,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8665,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-13,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesio glicinato gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,50.0,0,300.0,0,4.31,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,2,0,0,2,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8666,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-16,100.0,63809869731050,1,0,EXACT,1,0,0,451520502515809,13.99,3.5,0,0,magnesio glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,3.27,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,13.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8667,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-16,100.0,214558527883028,1,0,EXACT,1,0,0,451520502515809,13.99,3.5,0,0,magnesio gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,3.31,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,13.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8668,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-11,96.43,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium bisglycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,1.85,0,300.0,0,4.0,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,56,0,0,54,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
