id,parentasin,childasin,salesbyasin_unitsordered,salesbyasin_unitsorderedb2b,salesbyasin_orderedproductsales_amount,salesbyasin_orderedproductsales_currencycode,salesbyasin_orderedproductsalesb2b_amount,salesbyasin_orderedproductsalesb2b_currencycode,salesbyasin_totalorderitems,salesbyasin_totalorderitemsb2b,trafficbyasin_browsersessions,trafficbyasin_browsersessionsb2b,trafficbyasin_mobileappsessions,trafficbyasin_mobileappsessionsb2b,trafficbyasin_sessions,trafficbyasin_sessionsb2b,trafficbyasin_browsersessionpercentage,trafficbyasin_browsersessionpercentageb2b,trafficbyasin_mobileappsessionpercentage,trafficbyasin_mobileappsessionpercentageb2b,trafficbyasin_sessionpercentage,trafficbyasin_sessionpercentageb2b,trafficbyasin_browserpageviews,trafficbyasin_browserpageviewsb2b,trafficbyasin_mobileapppageviews,trafficbyasin_mobileapppageviewsb2b,trafficbyasin_pageviews,trafficbyasin_pageviewsb2b,trafficbyasin_browserpageviewspercentage,trafficbyasin_browserpageviewspercentageb2b,trafficbyasin_mobileapppageviewspercentage,trafficbyasin_mobileapppageviewspercentageb2b,trafficbyasin_pageviewspercentage,trafficbyasin_pageviewspercentageb2b,trafficbyasin_buyboxpercentage,trafficbyasin_buyboxpercentageb2b,trafficbyasin_unitsessionpercentage,trafficbyasin_unitsessionpercentageb2b,report_date,country_code,customer,created_at,updated_at
1549,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,1,0,1,0,2,0,0.1800,0.0000,0.0600,0.0000,0.0900,0.0000,1,0,1,0,2,0,0.1400,0.0000,0.0500,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1550,B0GVBPLXSW,B0FYFBZ7W5,20,0,451.8000,USD,0.0000,USD,19,0,28,0,103,1,131,1,5.0700,0.0000,5.9100,4.0000,5.7100,2.4400,41,0,136,2,177,2,5.8200,0.0000,6.1300,5.5600,6.0600,3.5700,97.5900,100.0000,15.2700,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1551,B0GS61KH2Y,B0DN5QQLB6,44,0,1099.1200,USD,0.0000,USD,44,0,27,0,119,1,146,1,4.8900,0.0000,6.8300,4.0000,6.3600,2.4400,39,0,155,1,194,1,5.5300,0.0000,6.9900,2.7800,6.6400,1.7900,98.8900,100.0000,30.1400,0.0000,2026-04-15 00:00:00,US,innerbrightness,2026-04-20 00:22:32.543741,2026-04-20 00:22:32.543741
1568,B0GS61KH2Y,B0G26383JK,37,1,620.8600,USD,16.7800,USD,33,1,52,2,246,3,298,5,9.8300,15.3800,14.1700,17.6500,13.1600,16.6700,68,2,299,4,367,6,9.9300,13.3300,13.3400,16.6700,12.5400,15.3800,100.0000,100.0000,12.4200,20.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1569,B0GSRJTLWY,B0FNBYKPZT,38,0,1139.6200,USD,0.0000,USD,36,0,22,0,70,0,92,0,4.1600,0.0000,4.0300,0.0000,4.0600,0.0000,27,0,89,0,116,0,3.9400,0.0000,3.9700,0.0000,3.9600,0.0000,100.0000,0.0000,41.3000,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1570,B0GSHWM86S,B0GKSVSK3P,42,1,820.2600,USD,19.5300,USD,41,1,42,0,104,0,146,0,7.9400,0.0000,5.9900,0.0000,6.4500,0.0000,50,0,144,0,194,0,7.3000,0.0000,6.4200,0.0000,6.6300,0.0000,98.9000,0.0000,28.7700,0.0000,2026-04-17 00:00:00,US,innerbrightness,2026-04-20 00:22:33.948575,2026-04-20 00:22:33.948575
1449,B0GS5J5TRR,B0GJBFKQZC,2,0,47.9800,USD,0.0000,USD,2,0,2,0,3,0,5,0,0.4300,0.0000,0.2200,0.0000,0.2700,0.0000,2,0,4,0,6,0,0.3300,0.0000,0.2200,0.0000,0.2500,0.0000,100.0000,0.0000,40.0000,0.0000,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1450,B0GS61KH2Y,B0DKT3PXRP,195,1,3898.0500,USD,19.9900,USD,183,1,155,4,593,5,748,9,33.1900,28.5700,42.6900,16.6700,40.3000,20.4500,199,4,778,8,977,12,32.9500,26.6700,43.6600,20.0000,40.9500,21.8200,99.1300,100.0000,26.0700,11.1100,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1451,B0GSRRVKB4,B0FYFK76DM,1,0,20.9900,USD,0.0000,USD,1,0,1,0,5,0,6,0,0.2100,0.0000,0.3600,0.0000,0.3200,0.0000,1,0,6,0,7,0,0.1700,0.0000,0.3400,0.0000,0.2900,0.0000,100.0000,0.0000,16.6700,0.0000,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1452,B0GVBPLXSW,B0FYFBZ7W5,11,0,248.4900,USD,0.0000,USD,11,0,9,1,43,0,52,1,1.9300,7.1400,3.1000,0.0000,2.8000,2.2700,13,1,63,0,76,1,2.1500,6.6700,3.5400,0.0000,3.1900,1.8200,94.3700,0.0000,21.1500,0.0000,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1453,B0GS61KH2Y,B0DN5QQLB6,30,0,839.7000,USD,0.0000,USD,30,0,27,1,73,3,100,4,5.7800,7.1400,5.2600,10.0000,5.3900,9.0900,34,1,88,3,122,4,5.6300,6.6700,4.9400,7.5000,5.1100,7.2700,100.0000,100.0000,30.0000,0.0000,2026-04-09 00:00:00,US,innerbrightness,2026-04-20 00:22:28.779833,2026-04-20 00:22:28.779833
1552,B0GS61KH2Y,B0G26383JK,39,0,654.4200,USD,0.0000,USD,36,0,43,0,170,2,213,2,7.5400,0.0000,10.5600,8.3300,9.7700,5.5600,52,0,208,2,260,2,7.0000,0.0000,9.9800,7.1400,9.2000,4.6500,99.1800,100.0000,18.3100,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1553,B0GSRJTLWY,B0FNBYKPZT,43,0,1289.5700,USD,0.0000,USD,42,0,32,1,66,1,98,2,5.6100,8.3300,4.1000,4.1700,4.5000,5.5600,39,1,89,1,128,2,5.2500,6.6700,4.2700,3.5700,4.5300,4.6500,100.0000,100.0000,43.8800,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1554,B0GSHWM86S,B0GKSVSK3P,30,2,585.9000,USD,39.0600,USD,29,2,50,2,96,3,146,5,8.7700,16.6700,5.9600,12.5000,6.7000,13.8900,70,2,118,3,188,5,9.4200,13.3300,5.6600,10.7100,6.6500,11.6300,100.0000,100.0000,20.5500,40.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1555,B0GSRJTLWY,B0FNBN38V4,102,2,3058.9800,USD,59.9800,USD,99,2,120,1,234,3,354,4,21.0500,8.3300,14.5300,12.5000,16.2400,11.1100,154,2,308,3,462,5,20.7300,13.3300,14.7800,10.7100,16.3400,11.6300,99.7700,100.0000,28.8100,50.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1556,B0GQZ8FRX8,B0GQZ8FRX8,3,0,59.9700,USD,0.0000,USD,3,0,5,0,10,0,15,0,0.8800,0.0000,0.6200,0.0000,0.6900,0.0000,5,0,15,0,20,0,0.6700,0.0000,0.7200,0.0000,0.7100,0.0000,100.0000,0.0000,20.0000,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1557,B0GGRSXJDL,B0G6L2NQP4,1,0,35.9900,USD,0.0000,USD,1,0,3,0,2,0,5,0,0.5300,0.0000,0.1200,0.0000,0.2300,0.0000,3,0,2,0,5,0,0.4000,0.0000,0.1000,0.0000,0.1800,0.0000,100.0000,0.0000,20.0000,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1558,B0GSRJTLWY,B0GJ66LHGM,6,0,179.9400,USD,0.0000,USD,6,0,18,1,35,0,53,1,3.1600,8.3300,2.1700,0.0000,2.4300,2.7800,24,1,36,0,60,1,3.2300,6.6700,1.7300,0.0000,2.1200,2.3300,100.0000,100.0000,11.3200,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1559,B0GTB8S1VY,B0G25Y3DVZ,29,0,710.2100,USD,0.0000,USD,25,0,43,0,72,2,115,2,7.5400,0.0000,4.4700,8.3300,5.2800,5.5600,52,0,89,2,141,2,7.0000,0.0000,4.2700,7.1400,4.9900,4.6500,100.0000,100.0000,25.2200,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1560,B0GBN5WH6R,B0GBN5WH6R,0,0,0.0000,USD,0.0000,USD,0,0,1,0,1,0,2,0,0.1800,0.0000,0.0600,0.0000,0.0900,0.0000,1,0,1,0,2,0,0.1300,0.0000,0.0500,0.0000,0.0700,0.0000,50.0000,0.0000,0.0000,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1561,B0GS5J5TRR,B0GJBFKQZC,7,0,142.7300,USD,0.0000,USD,7,0,15,0,64,1,79,1,2.6300,0.0000,3.9800,4.1700,3.6200,2.7800,16,0,76,2,92,2,2.1500,0.0000,3.6500,7.1400,3.2500,4.6500,100.0000,0.0000,8.8600,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1562,B0GS61KH2Y,B0DKT3PXRP,309,3,4322.9100,USD,41.9700,USD,285,3,173,4,638,12,811,16,30.3500,33.3300,39.6300,50.0000,37.2000,44.4400,236,6,854,15,1090,21,31.7600,40.0000,40.9800,53.5700,38.5600,48.8400,99.7100,100.0000,38.1000,18.7500,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1563,B0GSRJTLWY,B0GL11MTZM,10,0,299.9000,USD,0.0000,USD,10,0,18,1,29,0,47,1,3.1600,8.3300,1.8000,0.0000,2.1600,2.7800,25,1,33,0,58,1,3.3600,6.6700,1.5800,0.0000,2.0500,2.3300,100.0000,100.0000,21.2800,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1564,B0GSRRVKB4,B0FYFK76DM,5,0,99.9500,USD,0.0000,USD,5,0,2,0,3,0,5,0,0.3500,0.0000,0.1900,0.0000,0.2300,0.0000,2,0,3,0,5,0,0.2700,0.0000,0.1400,0.0000,0.1800,0.0000,100.0000,0.0000,100.0000,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1565,B0GWHWMMYC,B0GWHWMMYC,0,0,0.0000,USD,0.0000,USD,0,0,1,0,2,0,3,0,0.1800,0.0000,0.1200,0.0000,0.1400,0.0000,2,0,2,0,4,0,0.2700,0.0000,0.1000,0.0000,0.1400,0.0000,25.0000,0.0000,0.0000,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1566,B0GVBPLXSW,B0FYFBZ7W5,21,0,474.3900,USD,0.0000,USD,21,0,23,2,71,0,94,2,4.0400,16.6700,4.4100,0.0000,4.3100,5.5600,38,2,98,0,136,2,5.1100,13.3300,4.7000,0.0000,4.8100,4.6500,90.2400,100.0000,22.3400,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
1567,B0GS61KH2Y,B0DN5QQLB6,39,0,974.2200,USD,0.0000,USD,37,0,23,0,117,0,140,0,4.0400,0.0000,7.2700,0.0000,6.4200,0.0000,24,0,152,0,176,0,3.2300,0.0000,7.2900,0.0000,6.2300,0.0000,100.0000,0.0000,27.8600,0.0000,2026-04-16 00:00:00,US,innerbrightness,2026-04-20 00:22:33.307110,2026-04-20 00:22:33.307110
